CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2018/04/013371,A study to examine the side effects and benefits during marketing phase of Hetero - Bevacizumab in cancer patients,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of cervix uteri, unspecified

Malignant neoplasm of colon, unspecified

Malignant neoplasm of frontal lobe

Malignant neoplasm of unspecifiedkidney, except renal pelvis

Malignant neoplasm of unspecifiedpart of bronchus or lung

Metastatic colorectal cancer, Non-Squamous Nonâ€“Small Cell Lung Cancer, Glioblastoma, Metastatic Renal Cell Carcinoma and Persistent, Recurrent, or Metastatic Carcinoma of the Cervix",Hetero-Bevacizumab Solution for intravenous infusion,"Institute of Post Graduate Medical Education and Research,WEST BENGAL

Mahatma Gandhi Cancer Hospital and Research Institute,ANDHRA PRADESH

Srinivasam Cancer Care Mulitispeciality hospitals India Pvt Ltd,KARNATAKA

St. Theresas Hospital,ANDHRA PRADESH"
CTRI/2018/04/013399,A study to compare Gefitinib & bevacizumab with gefitinib alone in lung cancer patients,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Lung Cancer Patients,Oral TKI (Arm A),"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/07/014703,Comparison of therapeutic efficacy between two different treatment methods in patients with prostate cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",prostate cancer patients who have failed hormonal and chemotherapy,177Lu-PSMA-617 radionuclide therapy,"All India Institute of Medical Sciences,DELHI"
CTRI/2018/04/013369,Comparison of two techniques of pain management with morphine injection in terminal stage cancer patient.,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of other specified ill-defined sites

Patient suffering from cancer and having cancer pain",Morphine infusion group,"All India Institute of Medical Sciences AIIMS,DELHI"
CTRI/2018/04/013507,A study to compare weekly Paclitaxel injection with best supportive care in patients with lung cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Patients with small cell lung cancer relapsed on two or more lines of chemotherapy,Weekly paclitaxel (Arm A),"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/05/013727,Study of Advanced Cancer Treatment on Head & Neck Cancer patients and Breast Cancer patients,Observational,"Total: Not Applicable
Indian: Open to Recruitment","Newly diagnosed, locally advanced Head & Neck Cancer and refractory / relapsed triple negative breast cancer patients",NA,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2020/09/028024,To compare the early treatment response in patients with locally advanced lung cancer (stage IIIb and IIIa) planned with 3DCRT vs. 4DCT based radiotherapy planning,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting","LUNG CANCER

Malignant neoplasm of overlappingsites of bronchus and lung",,"AIIMS,NEW DELHI,DELHI"
CTRI/2018/06/014344,Comparison of one day with four days antibiotic use in cancer patients,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting","The patients will be those who will be undergoing clean, contaminated, planned cancer surgeries of abdomen",Single dose prophylactic antibiotic versus antibiotic for 4 days to prevent surgical site infection,"Basavatarakam Indo AMerican Cancer Hospital and Research Institute,ANDHRA PRADESH"
CTRI/2018/06/014371,To collect the safety and efficacy data in patients with metastatic colorectalcancer after giving regorafenib in Indian patients.,Interventional,"Total: Not Applicable
Indian: Completed",metastatic colorectal cancer mCRC,Regorafenib Bay 73- 4506,"Amrita Insititute of Medical Sciences,KERALA

Apollo Research Foundation,TELANGANA

Apollo Speciality Hospital ,TAMIL NADU

BLK Super Speciality Hospital,DELHI

City Cancer Centre ,ANDHRA PRADESH

Fortis Hospital Limited ,MAHARASHTRA

Health Point Multispecialty Hospital ,WEST BENGAL

Healthcare Center Global Cancer Center,GUJARAT

Healthcare Global Enterprises,KARNATAKA

Indraprastha Apollo Hospital,DELHI

IPGMER SSKM Hospital,WEST BENGAL

Jaslok Hospital,MAHARASHTRA

Jehangir Development center,MAHARASHTRA

Manipal Hospital,KARNATAKA

Shalby Hospital Jaipur ,RAJASTHAN

Sir Ganga Ram Hospital,DELHI

Sparsh Hospital Critical Care,ORISSA

Sushrut Hospital & Research,MAHARASHTRA

Tata Memorial Hospital ,MAHARASHTRA

The Gujarat Cancer and Research institute ,GUJARAT"
CTRI/2018/06/014464,Survival among Breast Cancer Patients in Tertiary Hospital,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast Cancer Patients,,"Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY

Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY

Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY

Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY

Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY"
CTRI/2018/05/014184,evaluation of the ability of a drug (Tranexamic acid) in reducing blood loss during and after surgery in head and neck cancer patients,Interventional,"Total: Not Applicable
Indian: Completed",Head and neck cancer patients,"TRANEXAMIC ACID T1

TRANEXAMIC ACID T2","ALL INDIA INSTITUTE OF MEDICAL SCIENCES,CHHATTISGARH"
CTRI/2018/07/014718,A Study of Erdafitinib Compared with Vinflunine or Docetaxel or Pembrolizumab in Participants with Advanced Urothelial Cancer and Selected Fibroblast Growth Factor Receptor (FGFR) Gene Aberrations.,Interventional,"Total: Open to Recruitment
Indian: Not Applicable",Advanced Urothelial Cancer,Erdafitinib,"Apollo Speciality Hospital,TAMIL NADU

Bhagwan Mahaveer Cancer Hospital & Research Centre,RAJASTHAN

Lata Mangeshkar Medical Foundationâ€™s,Deenanath Mangeshkar Hospital and Research Center,MAHARASHTRA

Manipal Hospital,KARNATAKA

Sahyadri Super Speciality Hospital,MAHARASHTRA"
CTRI/2018/05/014178,Comparative efficacy of therapy based comprehensive molecular and in-vitro studies versus standard of care therapy in newly diagnosed therapy naÃ¯ve advanced/unresectable malignancies,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants","Neoplasms

Newly diagnosed therapy naÃ¯ve advanced/unresectable gallbladder cancer, cholangiocarcinoma, pancreatic cancer, hepatocellular carcinoma, gastric cancer, esophageal cancer and glioblastoma patients",Available drugs will be individualized as per in vitro and molecular analysis reports,"Datar Cancer Genetics Limited,MAHARASHTRA

HCG Manavata Cancer Centre,MAHARASHTRA"
CTRI/2018/06/014578,To study the effect of cryotherapy over routine therapy in prevention of Chemotherapy Induce peripheral Neuropathy,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Cancer,Cryotherapy,"Chemotherapy room Radiotherapy Dept, day care (New OPD),CHANDIGARH

Chemotherapy units,CHANDIGARH"
CTRI/2018/05/014158,Chemotherapy Related Biomarker in Triple negative breast cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Tissue blocks from women with non-metastatic, TNBC breast cancer, who are eligible for neoadjuvant chemotherapy and have received NACT under the ongoing randomized trial at TMC

Malignant neoplasm of breast of unspecified site",NA,"Tata Memorial Centre,MAHARASHTRA"
CTRI/2018/05/014167,Effect of stress level after surgery in head and neck cancer patients,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Patient with head and neck squamous cell cancer undergoing surgery,NIL,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/06/014547,Efficacy of cancer treatment in Siddha,Observational,"Total: Not Applicable
Indian: Completed",Cancer,nil,"Ayothidoss Pandithar Hospital National Institute of siddha ,TAMIL NADU"
CTRI/2018/05/014248,Study on Anxiety Disorders in Palliative Care patients,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Advanced cancer referred for palliative care,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/09/015650,To study the effect of combination of dexamethasone and ropivacaine given in serratus anterior plane with the help of ultrasound in breast cancer surgery.,Interventional,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of breast of unspecified site

Patient having breast cancer will be the participant in this trial",Group D,"All India Institute of Medical Sciences AIIMS,DELHI"
CTRI/2018/06/014478,A study to assess the efficacy of combined treatment of a natural plant product (Resveratrol) and small amounts of metallic copper in reducing toxicity in patients receiving chemotherapy for advanced stomach cancers.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Patients receiving palliative chemotherapy for advanced stage IV inoperable gastric cancers at Tata Memorial Hospital,Trans-Resveratrol (Trade name-TransMaxTR) and Copper (Trade name-Chelated Copper),"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/06/014362,Breast cancer risk assessment model for Indian women,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast cancer,,"All India Institute of Medical Sciences, New Delhi,DELHI"
CTRI/2018/10/015931,INTERLACE ( A phase III multicentre trial of weekly chemotherapy prior to standard chemoradiation versus standard chemoradiation alone in patients with locally advanced cervical cancer),Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Locally advanced cancer of the uterine cervix,Interlace,"AIIMS,Delhi,DELHI

Chittaranjan National Cancer Institution,WEST BENGAL

Saroj Gupta Cancer Centre and Research Institute,WEST BENGAL

Tata Medical Center,WEST BENGAL"
CTRI/2018/06/014575,"Bioequivalence study of Doxorubicin HCL Liposome Inj 20mg/10mL(Dose:50mg/m2) of Emcure Pharma Ltd.,India, compared to that of Doxorubicin HCL Liposome Inj for IV Infusion 20mg/10mL(Dose:50mg/m2) OF JANSSEN-CILAG INTERNATIONAL NV BELGIUM, in female patients with ovarian cancer in fasting condition",BA/BE,"Total: Not Applicable
Indian: Completed",ADVANCED OVARIAN CANCER WHO HAVE FAILED A FIRST-LINE PLATINUM-BASED CHEMOTHERAPY REGIMEN AND WHO ARE ALREADY RECEIVING OR SCHEDULED TO START DOXORUBICIN HYDROCHLORIDE LIPOSOME INJECTION,Doxorubicin Hydrochloride Liposome Injection (20 mg/10 mL),"Aman Hospital,GUJARAT

Dr. B Borooah Cancer Institute,ASSAM

HCG Cancer Centre,GUJARAT

HCG Cancer Centre (Sun Pharma Road),GUJARAT

HCG Manavata Cancer Centre,MAHARASHTRA

Health Point Hospital,WEST BENGAL

Hindu Mission Hospital,TAMIL NADU

IPGME & R Oncology Department,WEST BENGAL

K.R. Hospital, MMC &RI,KARNATAKA

Kailash Cancer Hospital & Research Centre,GUJARAT

KLES Dr. Prabhakar Kore Hospital & Medical Research Centre,KARNATAKA

Kolhapur Cancer Centre Pvt. Ltd.,MAHARASHTRA

KRM Hospital And Research Centre,UTTAR PRADESH

MNJ Institute of Oncology & Regional Cancer Centre,TELANGANA

Navsanjeevani Hospital (Sankalp Speciality Healthcare Pvt. Ltd.),MAHARASHTRA

Noble Hospital, Pvt, Limited,MAHARASHTRA

P.D.E.A.â€™s Ayurved Rugnalaya and Sterling Multispeciality Hospital,MAHARASHTRA

Queens NRI Hospital,ANDHRA PRADESH

Sangini Hospital,GUJARAT

Sapthagiri Institute of Medical Science and Research Centre,KARNATAKA

Shettyâ€™s hospital,KARNATAKA

Sri Venkateshwara Hospital,KARNATAKA

Srinivasam Cancer Care Multi Speciality Hospital India Pvt. Ltd.,,KARNATAKA

Sudbhawana Hospital,UTTAR PRADESH

Sujan Surgical Cancer Hospital and Amravati Cancer Foundation,MAHARASHTRA

Unique Hospital,GUJARAT"
CTRI/2018/09/015630,Comparison of insertion of tube in windpipe with the help of C Mac videolaryngoscope(common blade vs. D blade in patients undergoing head and neck cancer surgeries.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Malignant neoplasm of overlappingsites of lip, oral cavity and pharynx

Patient having head and neck cancer",Group D,"AIIMS,DELHI"
CTRI/2018/07/014881,Safety and efficacy Assessment of Trastuzumab emtansine of Cadila Healthcare Ltd in comparison with Reference drug(Trastuzumab emtansine) for the treatment of metastatic breast cancer,Interventional,"Total: Not Applicable
Indian: Completed","HER2- positive, metastatic breast cancer","Trastuzumab emtansine (ZRC-3256, Cadila Healthcare Ltd)","HCG Manavata Cancer Centre,MAHARASHTRA

All India Institute of Medical Sciences (AIIMS),DELHI

Amrita Institute of Medical Sciences,KERALA

Apex Hospital Pvt. Ltd,RAJASTHAN

Batra Cancer Centre,DELHI

Bhagwan Mahaveer Cancer Hospital & Research Centre,RAJASTHAN

Bhakti Vedanta Hospital and Research Institute,MAHARASHTRA

Dayanand medical college & Hospital,PUNJAB

Deenanath Mangeshkar Hospital and Research Center,MAHARASHTRA

ERODE CANCER CENTRE,TAMIL NADU

Global Enterprise,KARNATAKA

Grant Medical Foundation,MAHARASHTRA

GVN Cancer Institute (A Unit of GVN Hospital),TAMIL NADU

HCG Cancer Centre,GUJARAT

HCG Cancer Centre,GUJARAT

HCG City cancer Centre ,ANDHRA PRADESH

HKLEâ€™S Dr. Prabhakar Kore Hospital and Medical Research Centre,KARNATAKA

Indraprastha Apollo Hospitals ,DELHI

Indraprastha Apollo Hospitals ,DELHI

Kailash Cancer Hospital and Research Center,GUJARAT

KR Hospital Mysore Medical College & Research Center,KARNATAKA

Manipal Hospital,KARNATAKA

MNJ Institute of oncology and Regional cancer Centre,TELANGANA

Navsanjeevani Hospital,MAHARASHTRA

Prince Aly Khan Hospital ,MAHARASHTRA

R.G.Kar Medical College & Hospita,WEST BENGAL

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

S.P. Medical College & AG of Hospitals,RAJASTHAN

Sanjeevani CBCC USA Cancer Hospital,CHHATTISGARH

Sapathgiri Institute of Medical Sciences and Research Centre,KARNATAKA

Shree Himalaya cancer Hospital and Research Institute,GUJARAT

Sparsh Hospital,ORISSA

Srinivasam Cancer Care Multispecialty Hospitals India Pvt Ltd,KARNATAKA

Sudbhawana Hospital,UTTAR PRADESH

Thangam Hospital and Thangam Cancer Center,TAMIL NADU

Unique Hospital- Multispeciality & Research Institute,GUJARAT"
CTRI/2018/07/014767,"A random allocation study to receive one of the trial intervention, to evaluate the safety of breast conserving surgery (surgery to remove cancer while leaving as much normal breast as possible) after giving neo adjuvant therapy in patients with locally advanced breast cancer (large tumors).",Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Malignant neoplasm of breast of unspecified site

Proven Breast Cancer, who have received neo-adjuvant systemic therapy and are now deemed suitable for BCS",Breast conservation surgery (with or without reconstruction),"Tata Memorial Centre,MAHARASHTRA"
CTRI/2018/07/014730,Microsatellite Instability Status form Cell free DNA in Cancer Patients,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Coloon cancer Rectal cancer Stomach cancer endometrial cancer,Not Applicable,"Basvatarakam Indo American Cancer Hospital and Research Institute,ANDHRA PRADESH"
CTRI/2018/07/014755,Survival in esophageal cancer patients in a tertiary care centre in India.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Esophageal Cancer,,"MAX SUPER SPECIALITY HOSPITAL,DELHI"
CTRI/2018/07/014809,Survival in breast cancer Subtypes,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",BREAST CANCER,,"MAX SUPER SPECIALITY HOSPITAL,DELHI"
CTRI/2018/07/014963,Survival in colorectal patients in a tertiary care centre.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",colorectal cancer patients,,"MAX SUPER SPECIALITY HOSPITAL,DELHI"
